,mid_prices,bid_prices,ask_prices,reservation_prices,inventory,cash,wealth,pnl,strategy
397,100.17356394481635,99.56315345690025,100.78517443273246,100.17416394481636,-3,351.0537787227683,50.53308688831925,50.53308688831925,Avellaneda (ABM)
398,100.01742164925847,99.40101116134237,100.62303213717458,100.01202164925847,17,-1642.7864107298394,57.50975730755454,57.50975730755454,Avellaneda (ABM)
399,99.93659453115994,99.32078404324383,100.54280501907604,99.93179453115994,16,-1552.597488368251,46.38802413030794,46.38802413030794,Avellaneda (ABM)
400,100.06799689228124,99.45848640436513,100.68050738019734,100.06949689228124,-5,546.4646980645477,46.124713603141515,46.124713603141515,Avellaneda (ABM)
401,99.96615490704137,99.35274441912527,100.57476539495748,99.96375490704138,8,-748.7236957030597,51.00554355327131,51.00554355327131,Avellaneda (ABM)
402,100.23289460419977,99.61948411628367,100.84150509211588,100.23049460419978,8,-743.2925561663029,58.57060066729525,58.57060066729525,Avellaneda (ABM)
403,99.56008592672353,98.94937543880742,100.17139641463963,99.56038592672353,-1,151.65835291101817,52.09826698429464,52.09826698429464,Avellaneda (ABM)
404,100.34249272317096,99.73478223525485,100.95680321108706,100.34579272317096,-11,1152.6661688950721,48.89874894019158,48.89874894019158,Avellaneda (ABM)
405,100.02557803431807,99.41456754640197,100.63658852223418,100.02557803431807,1,-44.35806277384408,55.66751526047399,55.66751526047399,Avellaneda (ABM)
406,100.04930547554846,99.43589498763237,100.65791596346457,100.04690547554847,7,-647.482046742966,52.86309158587335,52.86309158587335,Avellaneda (ABM)
407,100.34731016975798,99.73779968184186,100.95982065767407,100.34881016975797,-4,457.30756580441044,55.918325125378544,55.918325125378544,Avellaneda (ABM)
408,99.9001361351225,99.29062564720638,100.51264662303859,99.90163613512249,-5,555.923342094689,56.422661419076576,56.422661419076576,Avellaneda (ABM)
409,99.87899293060275,99.26828244268664,100.49030341851885,99.87929293060274,-1,148.1171443683946,48.238151437791856,48.238151437791856,Avellaneda (ABM)
410,99.9278784765717,99.3192679886556,100.5412889644878,99.9302784765717,-8,853.5606866422947,54.13765882972109,54.13765882972109,Avellaneda (ABM)
411,100.00302382092241,99.3911133330063,100.61313430883851,100.0021238209224,3,-245.2386781194533,54.77039334331391,54.77039334331391,Avellaneda (ABM)
412,99.74974572991172,99.13903524199561,100.36105621782782,99.75004572991172,-1,162.68114509558933,62.931399365677606,62.931399365677606,Avellaneda (ABM)
413,100.00578010377512,99.39086961585902,100.61289059169123,100.00188010377512,14,-1349.7530835001385,50.32783795271325,50.32783795271325,Avellaneda (ABM)
414,99.78579315094922,99.17358266303312,100.39560363886532,99.78459315094922,4,-344.65954646532197,54.483626138474904,54.483626138474904,Avellaneda (ABM)
415,99.69108415537318,99.08307366745707,100.30509464328928,99.69408415537318,-10,1057.2839406547862,60.373099101054436,60.373099101054436,Avellaneda (ABM)
416,100.2784527227235,99.6650422348074,100.88706321063961,100.2760527227235,8,-747.0805760049011,55.1470457768869,55.1470457768869,Avellaneda (ABM)
417,100.0243166127123,99.41450612479619,100.6365271006284,100.0255166127123,-5,547.8057250417121,47.68414197815059,47.68414197815059,Avellaneda (ABM)
418,99.81494593720494,99.20513544928883,100.42715642512104,99.81614593720494,-4,454.97244770781725,55.712663958997496,55.712663958997496,Avellaneda (ABM)
419,100.04831321777577,99.44060272985966,100.66262370569187,100.05161321777577,-11,1156.5868500102777,56.05540461474425,56.05540461474425,Avellaneda (ABM)
420,100.01022442661844,99.40071393870232,100.62273491453453,100.01172442661843,-4,449.9426908933858,49.90179318691207,49.90179318691207,Avellaneda (ABM)
421,100.2020193414181,99.59400885350199,100.8160298293342,100.2050193414181,-9,953.9273039239428,52.10912985117989,52.10912985117989,Avellaneda (ABM)
422,99.92768296014638,99.31577247223028,100.53779344806249,99.92678296014638,3,-247.73116481240277,52.05188406803637,52.05188406803637,Avellaneda (ABM)
423,99.98718147823153,99.38007099031543,100.60209196614764,99.99108147823154,-13,1347.6413554420437,47.807996225033776,47.807996225033776,Avellaneda (ABM)
424,100.09244732063918,99.48533683272308,100.70735780855529,100.09634732063918,-12,1248.994261028418,47.88489318074767,47.88489318074767,Avellaneda (ABM)
425,100.00148083492837,99.39347034701227,100.61549132284448,100.00448083492837,-9,958.5161304756907,58.50280296133542,58.50280296133542,Avellaneda (ABM)
426,100.03989073487908,99.42798024696297,100.65000122279518,100.03899073487908,3,-248.46134758842436,51.658324616212894,51.658324616212894,Avellaneda (ABM)
427,100.29811530506315,99.68590481714705,100.90792579297926,100.29691530506315,4,-351.97379496287544,49.21866625737715,49.21866625737715,Avellaneda (ABM)
428,99.91323262679757,99.30522213888146,100.52724311471367,99.91623262679757,-10,1051.156513992744,52.02418772476835,52.02418772476835,Avellaneda (ABM)
429,100.33377783349941,99.7251673455833,100.94718832141551,100.3361778334994,-8,842.0569046558187,39.38668198782341,39.38668198782341,Avellaneda (ABM)
430,100.03092002219911,99.426209534283,100.64823051011521,100.03722002219911,-20,2058.998220550403,58.379820106420766,58.379820106420766,Avellaneda (ABM)
431,100.28573231291377,99.67772182499766,100.89974280082987,100.28873231291377,-10,1050.85731990581,47.99999677667245,47.99999677667245,Avellaneda (ABM)
432,100.22861544346304,99.61730495554694,100.83932593137915,100.22831544346305,0,56.01941665176794,56.01941665176794,56.01941665176794,Avellaneda (ABM)
433,99.90902926799629,99.29861878008019,100.5206397559124,99.9096292679963,-3,360.0419210243489,60.314833220360015,60.314833220360015,Avellaneda (ABM)
434,100.01457682838364,99.40416634046754,100.62618731629975,100.01517682838364,-2,256.66609638976723,56.636942732999955,56.636942732999955,Avellaneda (ABM)
435,99.8980134732048,99.28850298528869,100.5105239611209,99.89951347320479,-5,544.4556131661469,44.965545800122925,44.965545800122925,Avellaneda (ABM)
436,100.02998428306277,99.41627379514667,100.63829477097887,100.02728428306277,9,-840.2065866239842,60.063271923580714,60.063271923580714,Avellaneda (ABM)
437,99.68698232226973,99.07627183435362,100.29829281018583,99.68728232226972,-1,150.5787182194041,50.89173589713437,50.89173589713437,Avellaneda (ABM)
438,100.00282526510227,99.39061477718617,100.61263575301838,100.00162526510228,5,-438.087133225528,61.92699309998335,61.92699309998335,Avellaneda (ABM)
439,99.99673693559896,99.38692644768285,100.60894742351506,99.99793693559896,-4,447.5890519048521,47.60210416245627,47.60210416245627,Avellaneda (ABM)
440,99.98015943220888,99.37334894429277,100.59536992012498,99.98435943220888,-14,1447.4610756625991,47.73884361167484,47.73884361167484,Avellaneda (ABM)
441,99.94991299552699,99.34130250761088,100.56332348344309,99.95231299552698,-8,847.782548383355,48.1832444191391,48.1832444191391,Avellaneda (ABM)
442,99.66491662713425,99.05600613921814,100.27802711505035,99.66701662713425,-7,747.2876433682258,49.633226978286075,49.633226978286075,Avellaneda (ABM)
443,99.91751264092268,99.30650215300658,100.52852312883878,99.91751264092268,0,57.021552044347544,57.021552044347544,57.021552044347544,Avellaneda (ABM)
444,100.0852372631649,99.47242677524879,100.694447751081,100.0834372631649,6,-543.641579903215,56.869843675774405,56.869843675774405,Avellaneda (ABM)
